Entity,Code,Year,Annual COâ‚‚ emissions
China,CHN,2010,8620576000.0
China,CHN,2011,9532332000.0
China,CHN,2012,9779292000.0
China,CHN,2013,9956329000.0
China,CHN,2014,9990257000.0
China,CHN,2015,9863457000.0
China,CHN,2016,9762714000.0
China,CHN,2017,10006343000.0
China,CHN,2018,10332993000.0
China,CHN,2019,10713984000.0
China,CHN,2020,10905693000.0
China,CHN,2021,11447913000.0
China,CHN,2022,11350538000.0
China,CHN,2023,11902503000.0
India,IND,2010,1677337200.0
India,IND,2011,1764712400.0
India,IND,2012,1925699700.0
India,IND,2013,1995098100.0
India,IND,2014,2148343800.0
India,IND,2015,2234219500.0
India,IND,2016,2354658000.0
India,IND,2017,2426606800.0
India,IND,2018,2593057800.0
India,IND,2019,2612888000.0
India,IND,2020,2421552000.0
India,IND,2021,2674221800.0
India,IND,2022,2831166200.0
India,IND,2023,3062324500.0
Japan,JPN,2010,1214798100.0
Japan,JPN,2011,1264796700.0
Japan,JPN,2012,1305997700.0
Japan,JPN,2013,1315297800.0
Japan,JPN,2014,1263805700.0
Japan,JPN,2015,1223199400.0
Japan,JPN,2016,1203184000.0
Japan,JPN,2017,1187484500.0
Japan,JPN,2018,1142480900.0
Japan,JPN,2019,1105478000.0
Japan,JPN,2020,1040483400.0
Japan,JPN,2021,1061905300.0
Japan,JPN,2022,1032686800.0
Japan,JPN,2023,988784700.0
Russia,RUS,2010,1632783200.0
Russia,RUS,2011,1685909500.0
Russia,RUS,2012,1701268400.0
Russia,RUS,2013,1640437400.0
Russia,RUS,2014,1639959200.0
Russia,RUS,2015,1638675300.0
Russia,RUS,2016,1634885000.0
Russia,RUS,2017,1666121200.0
Russia,RUS,2018,1712494300.0
Russia,RUS,2019,1705030900.0
Russia,RUS,2020,1632929300.0
Russia,RUS,2021,1711993300.0
Russia,RUS,2022,1802190000.0
Russia,RUS,2023,1815924700.0
United States,USA,2010,5679715300.0
United States,USA,2011,5546116000.0
United States,USA,2012,5344086000.0
United States,USA,2013,5480156700.0
United States,USA,2014,5528681000.0
United States,USA,2015,5376473000.0
United States,USA,2016,5252932000.0
United States,USA,2017,5212162000.0
United States,USA,2018,5377797000.0
United States,USA,2019,5262145000.0
United States,USA,2020,4714628000.0
United States,USA,2021,5032213000.0
United States,USA,2022,5078871000.0
United States,USA,2023,4911391000.0
