Year,"Annual anomalies in global land and ocean surface temperature from 1950 to 2023, based on temperature departure (in degrees Celsius)"
1950,-0.12
1951,-0.01
1952,0.05
1953,0.13
1954,-0.07
1955,-0.13
1956,-0.17
1957,0.06
1958,0.08
1959,0.07
1960,0.03
1961,0.07
1962,0.05
1963,0.08
1964,-0.15
1965,-0.06
1966,-0.02
1967,0.01
1968,-0.06
1969,0.09
1970,0.06
1971,-0.05
1972,0.03
1973,0.20
1974,-0.05
1975,0.02
1976,-0.03
1977,0.21
1978,0.11
1979,0.22
1980,0.29
1981,0.35
1982,0.19
1983,0.35
1984,0.20
1985,0.17
1986,0.21
1987,0.34
1988,0.42
1989,0.31
1990,0.45
1991,0.42
1992,0.23
1993,0.27
1994,0.32
1995,0.48
1996,0.36
1997,0.50
1998,0.63
1999,0.42
2000,0.43
2001,0.55
2002,0.62
2003,0.63
2004,0.55
2005,0.70
2006,0.66
2007,0.66
2008,0.55
2009,0.66
2010,0.73
2011,0.63
2012,0.66
2013,0.68
2014,0.76
2015,0.91
2016,1.03
2017,0.94
2018,0.87
2019,0.98
2020,1.02
2021,0.87
2022,0.90
2023,1.19